Comment,label
1800还要买288的盒子  买你妈逼,Toxic
没有零颗星，不然一颗星都不想给，更新后都他妈匹配的什么傻逼东西，十局六局挂机，九局送人头的队友，玩个毛线！傻逼天美团队，我，操你全家女性，祝你全家早日死绝男的被阉女的被轮断子绝孙祖宗十八代不得安宁！,Toxic
不让安装 你更新个鸡巴啊,Toxic
垃圾的平台！,Toxic
不多说，退游，辣鸡游戏，还改进体验呢，越改，就有报复社会的人,Toxic
辣鸡软件,Toxic
垃圾,Toxic
GM你吗死了，辣鸡游戏浪费钱还尼玛坑人,Toxic
我要以前的学生模式，不是现在的垃圾“健康使用手机”！！！！！！！,Toxic
垃圾！广告无脑弹！,Toxic
垃圾软件里面的东西都要钱的,Toxic
垃圾游戏,Toxic
五星差评，你能再差点吗？那么多免费的书，垃圾，五星差评，哼(ノ=Д=)ノ┻━┻,Toxic
有点流氓,Toxic
最新版本8.1.5不让使用外置导航。非用那个破百度，辣鸡。,Toxic
华南农业大学学生向恶势力低头,Toxic
70万考生没报上名，就是因为你们的系统问题，结果就被你们句道歉完事了？那70万人怎么办？艹，刚看见一个视频 别人父母都不舍得看病舍下来的钱给儿子买颜料，现在你说没报上名就读不了，你们的良心过得去？,Toxic
别瞎bb.玩了几天就跟着蛋，我玩了一年，不比较，单说游戏本身，操控，画面感整体还是很好的。什么名字取不了什么的那特么是问题么，好好聊天会四么,Toxic
垃圾游戏,Toxic
什么辣鸡东西在线听歌还要VIP越做越辣鸡,Toxic
辣鸡游戏,Toxic
傻 逼游戏我打鱼花了三十多万赢了两万块钱赔了二十多万元<br>无法形容这游戏了。<br>我的二十万人民币啊！<br>喜欢钱你咋不去抢银行啊！,Toxic
ojbk,Toxic
垃圾软件，推荐的都是啥破几把玩意，还不能删除，实在用的大王卡，要不然鬼才用这破软件,Toxic
辣鸡，连个最基本的排序选项都没有，图片乱的一批，本子都没法看,Toxic
辣鸡，根本PS不成图片，里面都是一些教程，没有软件，制作不了,Toxic
垃圾，大家千万别下载，提现根本没额度。谁玩谁傻逼,Toxic
骗子太多了，都是骗礼物的，建议男的不要下载。好多女垃圾，骗子,Toxic
mmp,Toxic
去他妈呃呃，v7的号个人战20连杀v3号无敌状态没过就死？曹尼玛煞笔游戏,Toxic
这去你妈我视频去哪里了  相册没有,Toxic
推荐填写邀请码“zrb7918315”，谢谢！,Toxic
分都不给看了，要你有屁用？,Toxic
666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666<br>666,Unhelpful
妈的，我自从更新后，我只赢过一盘，那盘还是火山大乱斗，卡的要死，每一局。现在都模型就像个玩具一样，就像墨子那六块钱的皮肤就跟以前两三块钱那种拼装模型一样。难受的一批。,Toxic
??????MMP,Toxic
辣鸡游戏 排位连赢之后你几天不能排位 因为你绝对会被这辣鸡游戏机制害 马上连输 给你各种奇葩队友 废物游戏辣鸡的一批别她妈玩 还实名 成年打她妈一个小时还要休息十分钟 休息玩给你强制退出 再让你休息十五分钟 辣鸡游戏我打0分,Toxic
死全家的游戏软件！！！！！！,Toxic
辣鸡玩意，打不开还浪流量,Toxic
除了广告多，还有手卡做爱,Toxic
他妈的  前几天更完新  没玩   晚上来玩 说我己经玩了 二个小时了  闪退  现在又要更新  真他妈的  越来越没意思了,Toxic
投诉 举报 都是广告 垃圾,Toxic
华为手机是国产骄傲，但是华为应用市场真是垃圾软件泛滥平台，这种软件是怎么审核上线的，这就是一款收费的聊天软件，上来就有专门钓鱼的客服先和你聊，聊几句就提示要充值了，不然消息发不出去，果断卸载，大家不要上当。,Toxic
垃圾玩意，不更新之前还好用些，只是偶尔开不了，更新后每次最少等一分钟才开门，还收三块钱一个月，有权任性.,Toxic
你们有没有邀请码,Toxic
买了贴纸还用不了，还贵，好垃圾啊,Toxic
垃圾游戏早点关闭吧？都2天任务没正常运行了！,Toxic
LLYY191214，加我,Toxic
http://activity.leiting.com/dungeon/201901/call/?act=share&uid=53936211 我一直在玩的地下城堡2已经重制了，快来我的新家坐坐~,Toxic
垃圾游戏，维护那么差,Toxic
垃圾游戏，一堆广告,Toxic
垃圾,Toxic
傻狗软件，简直一星都不想给，老子他妈刚截好他就给我闪退,Toxic
玛德，又进不去了，这一天天的，还能不能行了,Toxic
一下妹妹你妹妹妹妹没,Toxic
6666666,Unhelpful
最垃圾的一个版本，最失败的一次更新,Toxic
要把所有的日常加地图随机任务和宝图任务做完，一天至少3个小时，还不算肝材料的时间，其中80%的时间都是在跑地图，要是加上每个地图的boss，4个小时都不够。请问游戏策划，能不能想办法节约一下我们的时间？我们是来玩游戏消遣的，不是来被游戏玩的，跑地图真的很无聊很浪费生命。最可恨的是地图任务NPC还不停的换地方，好不容易跑到，中间还碰到沙层暴或是暴风雪什么的，准备点的时候NPC不见了，草泥马知道吗,Toxic
垃圾    里边东西都要钱,Toxic
我发现了折扣流量，超级便宜，推荐给你~http://wx.10086.cn/website/groupPurchase/groupShare?activityId=338&groupId=190120005689&pageId=,Toxic
真她妈的坑，小学生到底有多少？？？,Toxic
真nm煞笔,Toxic
确实很垃圾。。不多说，能给负分不。？,Toxic
就是个垃圾嘛材，算了，随便上个五星好评吧！这是我给你最低的分,Toxic
垃圾,Toxic
日你妈，天天两个小时，还有时候玩一把退了在进去就直接俩小时，垃圾游戏草泥马,Toxic
89732311邀请码,Toxic
真垃圾，,Toxic
坑比，第一次能抓到，再抓第二次那就不可能了！充值也不行，太坑了，签到的物品根本找不到！系统也没有提示！都赶紧卸载吧,Toxic
广告总出来烦死人了，保存的进度上不去了，辣鸡游戏浪费我时间！,Toxic
真垃圾，卸载了，不玩了，越看越心烦,Toxic
去你妹的，服务器总是炸，搜都搜不了，没有直接给我说好吧，一直不搜是什么意思？,Toxic
好个屁，消息都发不出去！,Toxic
简直ojbk就是屏蔽有些烦人,Toxic
游戏里有个找刺激    打麻将  扣了我30元钱提示     ？？感谢您使用炫彩网络提供的游戏30元服务，信息费30元/次（不含通讯费），由中国电信代收。客服电话118070。？？？求解答   钱能退吗？,Toxic
服务器很垃圾，信号满格登录不进去！游戏设计很坑，用元宝参与活动结果元宝扣了活动却没参与！里面全是引导着怎么充钱！,Toxic
什么逼玩意。马勒戈壁的。都特么什么人都能玩的东西 能不能有点高大上的 还特么要充钱,Toxic
我下载了最新版的免费蓝灯vpn可以打开的，专业版填写邀请码YMB9ZYB，可以一个月！蓝灯最新下载链接地址https://raw.githubusercontent.com/getlantern/lantern-binaries/master/lantern-installer.apk,Toxic
垃圾非要好评然后给金币,Toxic
辣鸡王者，闪退不说，还他妈扣分，现在扣到73分，什么都不能玩，卸载了，辣鸡游戏，还更尼玛的新。曹尼玛,Toxic
垃圾，根本转不了,Toxic
英雄 皮肤再加上画面还不如一个单机小游戏好 破游戏 辣鸡,Toxic
辣鸡游戏什么玩意艹,Toxic
商家邀请码py8ixzm,Toxic
#baiduhaokan://home/index/?channel=recommend&vid=8321819232173857577&auto_play_index=0&tab=guide&tag=box_feedhktg&source=box_feedhktg-0-1021890u&ext_content=%7B%22BAIDUID%22%3A%2264CF2900EA8467A90A0B1,Toxic
闪退，垃圾,Toxic
妈蛋，特殊符号去哪里了？,Toxic
超级会员邀请码RB4X8PO,Toxic
辣鸡游戏，闪退的我都不敢玩了,Toxic
你不充钱决斗场，你就永远打不过别人。真是垃圾游戏。,Toxic
垃圾，广告太多，严重占有手机内存。,Toxic
垃圾，上面东西都要钱,Toxic
mmp，资料填完后要工作人员打电话。各位考虑！,Toxic
这游戏尽是臭屌丝还有一群没脑子的萌妹子，操作手感垃圾得一批，还贼几把坑钱，如果王者是傻逼游戏，这个游戏建议把开发商枪毙,Toxic
脱坑咯 钱就当喂狗了 什么鸡巴爆率 买了爆率神器都没用   三十转装备？留着给你们老板穿吧 连踏马的二转武器都抽不到  你留着武器捅屁眼活塞运动吧,Toxic
我卡退两次了，稳赢的排位，我真的服了这个游戏，就是不给华为优化，畜牲一样的腾讯,Toxic
太垃圾了下什么下不了连更新都更不了,Toxic
斗鱼好，辣鸡虎牙,Toxic
什么狗屁玩意儿，更新后是有毛病吗？我他妈看到一半给我闪退是几个意思！你????的！原本收藏的小说自动给我取消了，还一直闪退，参数错误，这更新的是个屁啊，没人管的吗？,Toxic
前面的都玩完了，后面关卡居然不是免费解锁？？全部通关也凑不够买关卡的，逼着花钱买，垃圾，差评,Toxic
垃圾，根本抢不到，还一开始就买VIP。,Toxic
确实不错啊。那些自己玩的菜游戏体验差就说游戏垃圾的也没谁了????,Toxic
闪退打不开，游戏先不说，就这优化垃圾,Toxic
垃圾软件，大过年的，不好说啥子，就祝拼多多的CEO们家里死人吧（不仅辣鸡，还贼恶心，做这个东西的人简直就是狼心狗肺，nmsl）,Toxic
房子都是假的，看了图片问中介，直接和你说网站图片和价格都是假的，只是房子是有的为了吸客，这不是把客户当猴子耍浪费时间，谁不知道网站有房子，有房子干嘛不把图片放出来，遮遮掩掩的，难道还要一个个现场看，这还要网站干什么，当我是傻子很空闲？我是上海的，上海的就不要看了,Toxic
垃圾,Toxic
流氓软件，会诱导打开一大堆购物软件,Toxic
辣鸡游戏,Toxic
牛逼,Toxic
很垃圾，一打开就是广告，还必须下载，不下载界面就一直停在广告那里，关都关不掉,Toxic
太棒了！啪啪啪,Toxic
我是从黄站上找的，神不神奇？！,Toxic
为什么停止取流量？白玩流量，飞猪这个垃圾，不知道没通知要取流量以后结束啊,Toxic
垃圾软件，浪费表情，,Toxic
辣鸡啊！,Toxic
很辣鸡，每把牌就只有两三个主，输得多赢得少,Toxic
垃圾玩意儿还是快手牛逼！！！封号就封永久？？？？,Toxic
垃圾，里面的东西都要钱,Toxic
什么浏览器？什么狗屁，产品，该找的东西找不着,Toxic
垃圾游戏，,Toxic
请大家多多关照，邀请码A411481396,Toxic
我本是一个心态极好的人，直到wps搞丢了我熬夜写的测试案例。草草草！心态爆炸，转为吐槽而来！！！尼妈！！！啥bug不行，非得丢失文档的bug，还他妈无法找回！！！阿弥陀佛，就当自己喝醉啦，实在不能忍。,Toxic
说句实话真特么智障软件，实话实话毒作为平台没有一丁点监管跟制裁卖家的能力 我买了两次鞋均因卖家为涨价压货不出 保证金的钱都不够新涨价格的四分之一 而毒却一点监管能力都没有 真的太让人失望了 卸了 不会在用了。客服真的一点问题都解决不了,Toxic
玩吃鸡不要买华为P20，卡得要死，垃圾的要死，辣鸡辣鸡大辣鸡,Toxic
湖人版主太垃圾啦 柠檬蜜也太恶心啦 体验感也越来越差 一群有色眼镜的版主,Toxic
自己的分数都看不到还要自己算那要你有何用？亏老子还充特么个VIP退钱吧,Toxic
骂迷你的人去死,Toxic
说好的萌妹子呢，这他妈是什么鬼,Toxic
有人吗？我想要卖号，想买的私聊我，QQ：3178076046          微信：wjzlove1314521,Toxic
不经允许读取我的通讯录，狗屎,Toxic
垃圾游戏，全是广告弹窗,Toxic
以前我以为爱奇艺已经够辣鸡了，直到我看见现在的优酷，我tm居然还开了一年的会员，再往里充钱我就是狗,Toxic
我觉得人民币玩家可以比我们牛逼，但是巨恶心的是，他们可以加速距离比我们长，加速次数比我们多，收集能量比我们快，但是凭什么压制我们普通玩家，直接降低我们收集的能量，破解我们的加速？你这个垃圾游戏就是在骗氪吗？赤裸裸的歧视好吗？没举报简直是我脾气好,Toxic
垃圾软件别下了，不懂好评这么多哪来的,Toxic
所谓用户体验，真不知道你们产品经理脑袋里装的是屎吗？语音空格有了为什么还要放，而且还是不能替换的。拜拜了您,Toxic
越来越垃圾,Toxic
垃圾游戏，抄袭MC，你最好完了！,Toxic
请问我为什么换不了头像 我晚上八点左右下载并注册完，当时想换头像 就换不了 到刚才了我又试了几次 怎么就是换不了？？？给我个解释谢谢 我不撕逼,Toxic
只会给我一些辣鸡队友，配上特别强的对手，什么意思,Toxic
辣鸡平台！一个月了根本就买不了会员,Toxic
傻逼,Toxic
66666666666,Toxic
真的辣鸡，领了券充话费，结果给我来了个发放错误，说我不在领券范围内，我不能用，然后说给了我一张五元券，结果券呢？又发放错误到您妈兜里了？,Toxic
辣鸡，忘记账号用户名就登不了，所以要仔细啊，辣鸡百度,Toxic
垃圾病毒软件，别下，骗好评的人渣，不给好评就不能用,Toxic
不是 你限你 妈 的速呢？？,Toxic
什么狗屁公平手游？对面神对手，我家猪队友，系统无赖，匹配到那些队友，我就倒了八八辈子的霉。我不但上不了分还总十连败，那是排位呀，系统太坑了。望坑比们改邪归正，王者不那么坑。,Toxic
艹辣鸡游戏，马化腾是傻逼吧，专门做这个游戏让我们生气的，艹，傻逼,Toxic
越更新越辣鸡，更新了好几次死机，辣鸡天美,Toxic
太鸡巴垃圾了,Toxic
别下垃圾游戏,Toxic
不想付费的找我QQ785109502,Toxic
